Attack Window Start,Attack Window End,Duration (mins),Destination IP,# Events,Peak pps,Peak bps,Threat Categories,Vectors (Attack Names),Protocols Seen,Dest Ports,Total Packets Dropped,Devices Involved,Max Risk
2025-09-03 02:46:52,2025-09-03 02:48:07,1.25,216.208.243.248,7,5998578.0,28953631744.0,"BehavioralDOS, DOSShield",CPS - CONN-LIMIT-30K-UDP; DOSS-NULL-UDP; network flood IPv4 UDP,UDP,6673,389165954,"10.112.108.38, 10.112.112.180, 10.112.155.71",High
2025-09-09 04:08:01,2025-09-09 04:08:16,0.25,184.151.246.221,2,801485.0,8849976320.0,DOSShield,DOSS-DNS-Ref-L4-Above-3000,UDP,Multiple/Unknown,24017416,"10.112.108.38, 10.112.112.180",Medium
2025-09-09 04:20:14,2025-09-09 04:21:31,1.28,184.151.246.221,6,1356471.0,14820201472.0,"BehavioralDOS, DOSShield",DOSS-DNS-Ref-L4-Above-3000; network flood IPv4 UDP; network flood IPv4 UDP-FRAG,UDP,6673,174291000,"10.112.108.38, 10.112.112.180, 10.112.155.71",High
2025-09-09 04:28:36,2025-09-09 04:30:06,1.5,184.151.246.221,1,562405.0,1206158336.0,Anomalies,TCP handshake violation. First packet not SYN,TCP,6673,11129250,10.112.155.71,Low
2025-09-11 23:23:47,2025-09-11 23:24:37,0.83,216.208.243.71,5,3234053.0,19192312832.0,"BehavioralDOS, DOSShield",CPS - CONN-LIMIT-30K-UDP; network flood IPv4 UDP,UDP,6673,158088376,"10.112.108.38, 10.112.112.180, 10.112.155.71",High
2025-09-11 23:53:33,2025-09-11 23:59:18,5.75,207.189.244.230,3,409423.0,4154821632.0,"BehavioralDOS, DOSShield",DOSS-DNS-Ref-L4-Above-3000; network flood IPv4 UDP-FRAG,UDP,Multiple/Unknown,159411489,"10.112.112.180, 10.112.155.71",High
2025-09-26 21:30:37,2025-09-26 21:31:58,1.35,142.127.5.71,3,1252078.0,11339795456.0,BehavioralDOS,network flood IPv4 UDP-FRAG,UDP,Multiple/Unknown,64585644,"10.112.108.38, 10.112.112.180, 10.112.155.71",High
2025-10-01 18:51:23,2025-10-01 18:52:37,1.23,142.183.237.88,4,31609131.0,35548276736.0,"BehavioralDOS, DOSShield",CPS - IAAS-CONN-LIMIT-25K-UDP; network flood IPv4 UDP,UDP,Multiple/Unknown,1341399482,"10.112.108.38, 10.112.112.180, 10.112.155.71",High
2025-10-02 02:42:42,2025-10-02 02:46:33,3.85,142.127.5.74,27,4517340.0,30360985600.0,"BehavioralDOS, DOSShield",CPS - IAAS-CONN-LIMIT-25K-UDP; DDOS-Mirai-GENUDP-flood; DDoS-UDP-MEMCACHED-AMP; DOSS-DNS-Ref-Above_30_Answers; DOSS-DNS-Ref-L4-Above-3000; network flood IPv4 UDP; network flood IPv4 UDP-FRAG,UDP,28907,482639180,"10.112.108.38, 10.112.112.180, 10.112.155.71",High
2025-10-05 04:10:06,2025-10-05 04:18:54,8.8,216.208.243.111,7,979654.0,10140664832.0,"BehavioralDOS, DOSShield",DOSS-DNS-Ref-Above_30_Answers; DOSS-DNS-Ref-L4-Above-3000; DOSS-DNSRespRootANY; network flood IPv4 UDP-FRAG,UDP,53,489833911,"10.112.112.180, 10.112.155.71",High
2025-10-05 04:32:06,2025-10-05 04:42:08,10.03,216.208.243.111,36,2979367.0,34124827648.0,"BehavioralDOS, DOSShield",CPS - IAAS-CONN-LIMIT-25K-UDP; DDoS-UDP-MEMCACHED-AMP; DOSS-DNS-Ref-Above_30_Answers; DOSS-DNS-Ref-L4-Above-3000; DOSS-NULL-UDP; network flood IPv4 UDP; network flood IPv4 UDP-FRAG,UDP,6673,592786785,"10.112.108.38, 10.112.112.180, 10.112.155.71",High
2025-10-05 23:17:55,2025-10-05 23:19:07,1.2,216.208.243.177,2,564990.0,5683047424.0,BehavioralDOS,network flood IPv4 UDP-FRAG,UDP,Multiple/Unknown,38413681,"10.112.112.180, 10.112.155.71",High
2025-10-09 18:18:42,2025-10-09 18:20:12,1.5,174.90.223.236,2,478194.0,4868908032.0,"BehavioralDOS, DOSShield",DOSS-DNS-Ref-L4-Above-3000; network flood IPv4 UDP-FRAG,UDP,Multiple/Unknown,28118851,10.112.112.180,High
2025-10-10 01:53:22,2025-10-10 02:03:44,10.37,142.127.5.34,33,11940408.0,29857309696.0,"Anomalies, BehavioralDOS, DOSShield",CPS - IAAS-CONN-LIMIT-25K-UDP; DOSS-DNS-Ref-Above_30_Answers; DOSS-DNS-Ref-L4-Above-3000; TCP handshake violation. First packet not SYN; network flood IPv4 UDP; network flood IPv4 UDP-FRAG,"TCP, UDP",36223,2015174284,"10.112.108.38, 10.112.112.180, 10.112.155.71",High
2025-10-12 04:00:00,2025-10-12 04:00:39,0.65,142.127.5.34,8,2455014.0,19540763648.0,"BehavioralDOS, DOSShield",CPS - IAAS-CONN-LIMIT-25K-UDP; DOSS-DNS-Ref-L4-Above-3000; DOSS-NULL-UDP; network flood IPv4 UDP-FRAG,UDP,36179,123838184,"10.112.108.38, 10.112.112.180, 10.112.155.71",High
2025-10-12 04:22:30,2025-10-12 04:26:24,3.9,142.127.5.34,3,1136770.0,3755029504.0,"BehavioralDOS, DOSShield",CPS - IAAS-CONN-LIMIT-25K-UDP; network flood IPv4 UDP; network flood IPv4 UDP-FRAG,UDP,Multiple/Unknown,159603287,10.112.108.38,High
2025-10-13 00:22:49,2025-10-13 00:29:37,6.8,142.127.6.125,23,914484.0,9279057920.0,"BehavioralDOS, DOSShield",DOSS-DNS-Ref-Above_30_Answers; DOSS-DNS-Ref-L4-Above-3000; network flood IPv4 UDP-FRAG,UDP,"53,6658",218757417,"10.112.108.38, 10.112.112.180, 10.112.155.71",High
2025-10-19 00:01:25,2025-10-19 00:04:10,2.75,142.127.5.34,13,4886734.0,25545949184.0,"BehavioralDOS, DOSShield",DOSS-DNS-Ref-Above_30_Answers; DOSS-DNS-Ref-L4-Above-3000; DOSS-DNSRespRootANY; network flood IPv4 UDP; network flood IPv4 UDP-FRAG,UDP,36287,513885019,"10.112.108.38, 10.112.112.180, 10.112.155.71",High
2025-10-19 00:35:56,2025-10-19 00:44:01,8.08,142.183.237.144,30,4109275.0,30692548608.0,"BehavioralDOS, DOSShield",CPS - IAAS-CONN-LIMIT-25K-UDP; DDOS-Mirai-GENUDP-flood; DOSS-DNS-Ref-Above_30_Answers; DOSS-DNS-Ref-L4-Above-3000; DOSS-DNSRespRootANY; network flood IPv4 UDP; network flood IPv4 UDP-FRAG,UDP,"4464,40464",1143885091,"10.112.108.38, 10.112.112.180, 10.112.155.71",High
2025-10-19 22:06:24,2025-10-19 23:07:45,61.35,142.127.7.192,12,2121282.0,21584056320.0,"BehavioralDOS, DOSShield",DOSS-DNS-Ref-Above_30_Answers; DOSS-DNS-Ref-L4-Above-3000; network flood IPv4 UDP; network flood IPv4 UDP-FRAG,UDP,60962,455049612,"10.112.108.38, 10.112.112.180, 10.112.155.71",High
2025-10-22 02:56:45,2025-10-22 04:15:29,78.73,142.127.7.192,6,1653492.0,14968496128.0,"Anomalies, BehavioralDOS, TrafficFilters",TCP handshake violation. First packet not SYN; network flood IPv4 UDP-FRAG; tf_udp-frag-1k,"TCP, UDP",Multiple/Unknown,929287957,"10.112.108.38, 10.112.112.180, 10.112.155.71",High
2025-10-22 16:08:13,2025-10-22 16:10:13,2.0,142.127.4.56,2,316894.0,2268903424.0,"BehavioralDOS, TrafficFilters",network flood IPv4 UDP; tf_udp-frag-1k,UDP,6672,42965781,10.112.108.38,High
2025-11-01 23:55:53,2025-11-01 23:56:08,0.25,142.127.5.6,1,258802.0,2785979392.0,TrafficFilters,tf_udp-frag-1k,UDP,Multiple/Unknown,3882136,10.112.108.38,High
2025-11-14 18:21:30,2025-11-14 18:22:34,1.07,142.183.237.70,3,1179715.0,12580734976.0,TrafficFilters,tf_udp-frag-1k,UDP,Multiple/Unknown,73089769,"10.112.108.38, 10.112.112.180, 10.112.155.71",High
2025-11-17 00:57:05,2025-11-17 01:09:05,12.0,216.208.243.249,13,2609955.0,27678308352.0,"BehavioralDOS, TrafficFilters",network flood IPv4 UDP; network flood IPv4 UDP-FRAG; tf_udp-frag-1k,UDP,37475,952856331,"10.112.108.38, 10.112.112.180, 10.112.155.71",High
2025-11-19 02:15:52,2025-11-19 02:17:07,1.25,216.208.243.250,3,1390124.0,14708382720.0,TrafficFilters,tf_udp-frag-1k,UDP,Multiple/Unknown,87524249,"10.112.108.38, 10.112.112.180, 10.112.155.71",High
